iter	Passed	Remaining
0	2	2379
1	4	2382
2	5	1989
3	7	1777
4	8	1669
5	9	1593
6	10	1539
7	11	1473
8	13	1444
9	14	1435
10	15	1398
11	16	1369
12	17	1351
13	19	1349
14	20	1342
15	21	1338
16	23	1332
17	24	1318
18	25	1309
19	27	1324
20	28	1336
21	29	1330
22	31	1323
23	32	1310
24	33	1303
25	35	1316
26	36	1320
27	38	1322
28	39	1315
29	40	1311
30	41	1303
31	42	1300
32	44	1294
33	45	1292
34	46	1282
35	47	1274
36	48	1266
37	50	1271
38	51	1269
39	52	1266
40	54	1265
41	55	1258
42	56	1254
43	57	1248
44	58	1246
45	59	1243
46	61	1244
47	62	1240
48	63	1235
49	64	1233
50	66	1230
51	67	1230
52	68	1230
53	70	1228
54	71	1224
55	72	1217
56	73	1213
57	74	1210
58	75	1207
59	77	1208
60	78	1202
61	79	1198
62	80	1193
63	81	1188
64	82	1187
65	83	1185
66	85	1187
67	86	1184
68	87	1179
69	88	1179
70	89	1176
71	91	1173
72	92	1171
73	93	1173
74	94	1171
75	96	1168
76	97	1165
77	98	1163
78	99	1161
79	101	1166
80	102	1165
81	103	1162
82	104	1158
83	105	1155
84	107	1154
85	108	1151
86	109	1150
87	110	1149
88	112	1147
89	113	1146
90	114	1142
91	115	1142
92	117	1143
93	118	1142
94	119	1142
95	121	1139
96	122	1136
97	123	1133
98	124	1131
99	125	1129
100	126	1128
101	128	1127
102	129	1125
103	130	1123
104	131	1123
105	133	1124
106	134	1124
107	135	1123
108	137	1121
109	138	1119
110	139	1117
111	140	1116
112	141	1114
113	143	1113
114	144	1110
115	145	1109
116	146	1106
117	147	1104
118	149	1103
119	150	1103
120	151	1103
121	153	1101
122	154	1099
123	155	1098
124	156	1096
125	157	1094
126	159	1093
127	160	1092
128	161	1091
129	162	1089
130	164	1088
131	165	1086
132	166	1086
133	167	1085
134	169	1084
135	170	1083
136	171	1083
137	173	1081
138	174	1078
139	175	1076
140	176	1074
141	177	1072
142	178	1070
143	179	1068
144	180	1067
145	182	1066
146	183	1066
147	185	1066
148	186	1064
149	187	1063
150	188	1062
151	190	1060
152	191	1058
153	192	1056
154	193	1054
155	194	1053
156	195	1051
157	197	1050
158	198	1048
159	199	1049
160	201	1049
161	202	1049
162	203	1046
163	204	1044
164	206	1043
165	207	1041
166	208	1039
167	209	1037
168	210	1036
169	212	1035
170	213	1033
171	214	1032
172	215	1031
173	217	1030
174	218	1029
175	219	1028
176	220	1026
177	221	1024
178	222	1022
179	224	1021
180	225	1020
181	226	1019
182	228	1018
183	229	1017
184	230	1015
185	231	1013
