iter	RMSE
0	0.2702703262
1	0.2422597633
2	0.2340497893
3	0.2308472828
4	0.2280721035
5	0.2269011523
6	0.2245648098
7	0.2238198007
8	0.2230601665
9	0.2219939002
10	0.2212679605
11	0.221073881
12	0.220769652
13	0.2204895147
14	0.2178926222
15	0.2163623244
16	0.2156719926
17	0.2138025033
18	0.2133849307
19	0.2132865996
20	0.2120798187
21	0.2119848991
22	0.2118443039
23	0.2113120847
24	0.2102465418
25	0.2100253632
26	0.2098719679
27	0.2097252859
28	0.2095426375
29	0.2092687418
30	0.2087460775
31	0.2084928753
32	0.2083224364
33	0.2081342667
34	0.2079893296
35	0.2078100934
36	0.2077224492
37	0.207337322
38	0.2069847258
39	0.2068889796
40	0.2065795758
41	0.2061736361
42	0.2059352506
43	0.2058136366
44	0.2057180195
45	0.2056089289
46	0.2055667882
47	0.2054453122
48	0.205142805
49	0.2050624267
50	0.2049788683
51	0.2048957501
52	0.2045756825
53	0.2044826897
54	0.2044173772
55	0.2040408145
56	0.2038924734
57	0.2034000169
58	0.2033214038
59	0.2032070686
60	0.2030968989
61	0.2029803245
62	0.2028000166
63	0.202786321
64	0.2027555536
65	0.2027174605
66	0.2025443992
67	0.2024706857
68	0.2024113901
69	0.2023803104
70	0.2023306295
71	0.2023022291
72	0.20224733
73	0.2021234533
74	0.2020494685
75	0.2019523955
76	0.2017830916
77	0.2017264624
78	0.2016617927
79	0.2016310262
80	0.2015809863
81	0.2015303969
82	0.2014406816
83	0.2013853001
84	0.2012888835
85	0.2011703962
86	0.2011292201
87	0.2010325698
88	0.2009591014
89	0.2009318541
90	0.2008323944
91	0.2006125885
92	0.2005886257
93	0.2005010722
94	0.2004249712
95	0.2003592705
96	0.2002529789
97	0.2001515358
98	0.2000470493
99	0.1998355573
100	0.1998016231
101	0.1996815584
102	0.1996352484
103	0.1996126249
104	0.1995641322
105	0.1995247275
106	0.1992001588
107	0.1991474871
108	0.1991039446
109	0.1990634305
110	0.1990366858
111	0.1989789254
112	0.1989396701
113	0.1989176543
114	0.1989143773
115	0.1988099716
116	0.1987769445
117	0.1986974468
118	0.1985932221
119	0.1985132467
120	0.1984764475
121	0.1984019901
122	0.198347721
123	0.1982902971
124	0.1982563884
125	0.1982294324
126	0.1981896555
127	0.1981346481
128	0.1980787562
129	0.1980543897
130	0.1979950651
131	0.19785626
132	0.1978244032
133	0.1978121329
134	0.1977668087
135	0.1976764306
136	0.1976485637
137	0.1975766539
138	0.1975636363
139	0.1975265228
140	0.1974787558
141	0.1974294087
142	0.1973783352
143	0.1973315606
144	0.1972808871
145	0.197257734
146	0.1971913418
147	0.1971547417
148	0.1970915845
149	0.1970591896
150	0.1970157413
151	0.1969672826
152	0.1969312503
153	0.1968816551
154	0.1968161898
155	0.196751662
156	0.1967232346
157	0.1966494283
158	0.1966163253
159	0.1965318892
160	0.1964735795
161	0.1964142757
162	0.1963700347
163	0.1963510528
164	0.1962948985
165	0.1962698268
166	0.1962116406
167	0.1961621143
168	0.1960945743
169	0.1960526973
170	0.1960176753
171	0.1959540749
172	0.1959340588
173	0.1958869909
174	0.1958546445
175	0.1957874814
176	0.195727782
177	0.195695175
178	0.195676211
179	0.1956450108
180	0.1955811216
181	0.1955486011
182	0.1954882196
183	0.1954298302
184	0.1953833914
185	0.1953637123
186	0.1953461399
187	0.1952296233
188	0.1952032509
189	0.1950728601
190	0.195026503
191	0.1949684635
192	0.1948619695
193	0.1948313573
194	0.1947869366
195	0.1947803227
196	0.194740815
197	0.1946913158
198	0.1946866205
199	0.1946302039
200	0.1946113499
201	0.1945888533
202	0.1945686121
203	0.1945440234
204	0.1944798992
205	0.1944485324
206	0.1944238695
207	0.1943895375
208	0.1943314209
209	0.1942834027
210	0.194243386
211	0.1942074694
212	0.1941674727
213	0.1941385001
214	0.194111533
215	0.1940739592
216	0.1940414961
217	0.1939750038
218	0.1939475194
219	0.1939243625
220	0.1938649103
221	0.1938569643
222	0.1937945159
223	0.1937693765
224	0.1937292853
225	0.1936980595
226	0.1936683684
227	0.1936302544
228	0.1935401974
229	0.193528273
230	0.1934835961
231	0.1934617367
232	0.1934476453
233	0.1934201882
234	0.1933956281
235	0.1933577802
236	0.1933473916
237	0.1933035508
238	0.1932566568
239	0.1932268986
240	0.1931987266
241	0.1931813459
242	0.1931642351
243	0.1931518073
244	0.1931344045
245	0.1931162321
246	0.1930545226
247	0.1930230625
248	0.1929903433
249	0.1929676018
250	0.1929145622
251	0.192858928
252	0.1928084809
253	0.1927744617
254	0.1927164656
255	0.1926722889
256	0.1926279635
257	0.1925915369
258	0.1925422638
259	0.1924345726
260	0.1924202275
261	0.192380039
262	0.1923020863
263	0.192301359
264	0.1922728464
265	0.1922349438
266	0.1922152062
267	0.1921559916
268	0.1921413097
269	0.1919089243
270	0.1918666363
271	0.1918448646
272	0.191807435
273	0.1917969924
274	0.1917907962
275	0.1917377395
276	0.1917175955
277	0.1916929991
278	0.1916718935
279	0.1916498698
280	0.1916470191
281	0.1916062631
282	0.1915962705
283	0.1915682508
284	0.1915207278
285	0.1914925864
286	0.1914687429
287	0.1914379992
288	0.1913982638
289	0.1913782721
290	0.1913586959
291	0.1913345322
292	0.1913169075
293	0.1912748763
294	0.1912354682
295	0.1912183111
296	0.1911917662
297	0.1911569587
298	0.1911071001
299	0.1910621255
300	0.1910289052
301	0.191005698
302	0.1910033485
303	0.1909388608
304	0.1909179247
305	0.1908925974
306	0.1908921481
307	0.1908615596
308	0.1908263117
309	0.1908100004
310	0.1907863646
311	0.1907608532
312	0.190689366
313	0.1906631631
314	0.1906488488
315	0.1906364345
316	0.1906100467
317	0.1905286219
318	0.1905174389
319	0.1904737131
320	0.190458778
321	0.1903878482
322	0.1903568827
323	0.1903130384
324	0.190281491
325	0.1902463993
326	0.1902123519
327	0.1901831889
328	0.190163931
329	0.1901460031
330	0.1901358041
331	0.1901170201
332	0.1900809525
333	0.1900437536
334	0.1899939253
335	0.1899572276
336	0.1898836931
337	0.1898368992
338	0.1898169732
339	0.1898066007
340	0.1897896772
341	0.1897789585
342	0.1897647752
343	0.189729156
344	0.1897284728
345	0.1897068095
346	0.1896945003
347	0.1896600944
348	0.1896383214
349	0.1896144623
350	0.1895952097
351	0.1895660577
352	0.1895458954
353	0.1895102838
354	0.1894620916
355	0.1894555737
356	0.1894342202
357	0.1894054702
358	0.1893798673
359	0.1893424273
360	0.189306966
361	0.1892876214
362	0.18927281
363	0.1892434667
364	0.1892160222
365	0.1891821603
366	0.1891514902
367	0.1891387605
368	0.1891240251
369	0.1891057842
