iter	Passed	Remaining
0	2	2241
1	4	2105
2	6	2035
3	8	2129
4	10	2056
5	12	2016
6	13	1956
7	15	1946
8	17	1932
9	19	1914
10	20	1858
11	21	1805
12	23	1766
13	24	1742
14	26	1727
15	27	1712
16	29	1698
17	30	1685
18	32	1667
19	33	1640
20	34	1619
21	35	1595
22	37	1582
23	38	1567
24	40	1563
25	41	1565
26	43	1560
27	44	1557
28	46	1550
29	48	1555
30	49	1558
31	51	1550
32	52	1543
33	54	1534
34	55	1525
35	56	1525
36	58	1525
37	60	1522
38	62	1536
39	63	1529
40	65	1530
41	67	1528
42	68	1526
43	69	1516
44	70	1505
45	72	1501
46	73	1497
47	75	1500
48	77	1498
49	78	1496
50	80	1496
51	81	1489
52	83	1492
53	85	1491
54	86	1486
55	87	1480
56	89	1481
57	90	1477
58	92	1474
59	93	1470
60	95	1468
61	97	1468
62	98	1467
63	100	1464
64	101	1463
65	103	1458
66	104	1455
67	105	1449
68	107	1445
69	108	1443
70	110	1440
71	111	1436
72	112	1432
73	114	1432
74	115	1429
75	117	1426
76	118	1423
77	120	1418
78	121	1415
79	122	1413
80	124	1410
81	125	1409
82	127	1406
83	128	1403
84	130	1404
85	132	1407
86	133	1404
87	135	1403
88	136	1399
89	137	1395
90	139	1394
91	141	1392
92	142	1389
93	144	1388
94	145	1386
95	147	1384
96	148	1380
97	149	1379
98	151	1377
99	152	1375
100	154	1372
101	155	1369
102	157	1368
103	158	1365
104	160	1364
105	161	1359
106	162	1357
107	164	1354
108	165	1351
109	166	1347
110	167	1343
111	168	1339
112	170	1337
113	171	1334
114	172	1330
115	174	1330
116	176	1328
117	177	1327
118	179	1326
119	180	1324
120	181	1321
121	183	1318
122	184	1316
123	186	1315
124	187	1312
125	189	1311
126	190	1309
127	192	1308
128	193	1307
129	195	1307
130	197	1308
131	198	1306
132	199	1303
133	201	1301
134	202	1299
135	204	1298
136	205	1297
137	207	1296
138	208	1294
139	210	1292
140	212	1291
